ID,Tên file,Chủ đề,Đường dẫn,Số từ,Ngày tạo,Từ khóa
1,001_Tr_tu_nhn_to_-_phn_m_rng_1.txt,Trí tuệ nhân tạo,./doc,6409,2025-10-06 17:39:28,"Trí tuệ nhân tạo, phần, tạo, mở"
2,002_Machine_Learning_-_phn_m_rng_1.txt,Machine Learning,./doc,6240,2025-10-06 17:39:28,"Machine Learning, phần, rộng, mở"
3,003_Deep_Learning_-_phn_m_rng_1.txt,Deep Learning,./doc,6093,2025-10-06 17:39:28,"Deep Learning, phần, mở, rộng"
4,004_X_l_ngn_ng_t_nhin_(NLP)_-_phn_m_rng_1.txt,Xử lý ngôn ngữ tự nhiên (NLP),./doc,6395,2025-10-06 17:39:28,"Xử lý ngôn ngữ tự nhiên (NLP), phần, lý, rộng"
5,005_Computer_Vision_-_phn_m_rng_1.txt,Computer Vision,./doc,6114,2025-10-06 17:39:28,"Computer Vision, phần, rộng, computer"
6,006_Robot_-_phn_m_rng_1.txt,Robot,./doc,6408,2025-10-06 17:39:28,"Robot, phần, rộng, mở"
7,007_Hc_tng_cng_-_phn_m_rng_1.txt,Học tăng cường,./doc,6363,2025-10-06 17:39:28,"Học tăng cường, phần, học, rộng"
8,008_Mng_n-ron_nhn_to_-_phn_m_rng_1.txt,Mạng nơ-ron nhân tạo,./doc,6745,2025-10-06 17:39:28,"Mạng nơ-ron nhân tạo, phần, rộng, mở"
9,009_M_ha_-_phn_m_rng_1.txt,Mã hóa,./doc,6269,2025-10-06 17:39:28,"Mã hóa, phần, rộng, hóa"
10,010_Bo_mt_thng_tin_-_phn_m_rng_1.txt,Bảo mật thông tin,./doc,6274,2025-10-06 17:39:28,"Bảo mật thông tin, phần, rộng, mở"
11,011_Blockchain_-_phn_m_rng_1.txt,Blockchain,./doc,6331,2025-10-06 17:39:28,"Blockchain, phần, rộng, mở"
12,012_Tin_m_ha_-_phn_m_rng_1.txt,Tiền mã hóa,./doc,6089,2025-10-06 17:39:28,"Tiền mã hóa, phần, rộng, hóa"
13,013_Hp_ng_thng_minh_(Smart_Contract)_-_phn_m_rng_1.txt,Hợp đồng thông minh (Smart Contract),./doc,6267,2025-10-06 17:39:28,"Hợp đồng thông minh (Smart Contract), phần, hợp, đồng"
14,014_Internet_vn_vt_(IoT)_-_phn_m_rng_1.txt,Internet vạn vật (IoT),./doc,6096,2025-10-06 17:39:28,"Internet vạn vật (IoT), phần, rộng, mở"
15,015_Edge_Computing_-_phn_m_rng_1.txt,Edge Computing,./doc,6411,2025-10-06 17:39:28,"Edge Computing, phần, rộng, mở"
16,016_in_ton_m_my_(Cloud_Computing)_-_phn_m_rng_1.txt,Điện toán đám mây (Cloud Computing),./doc,6055,2025-10-06 17:39:29,"Điện toán đám mây (Cloud Computing), phần, toán, rộng"
17,017_AWS_-_phn_m_rng_1.txt,AWS,./doc,6351,2025-10-06 17:39:29,"AWS, phần, rộng, mở"
18,018_Microsoft_Azure_-_phn_m_rng_1.txt,Microsoft Azure,./doc,6317,2025-10-06 17:39:29,"Microsoft Azure, phần, rộng, mở"
19,019_Google_Cloud_Platform_-_phn_m_rng_1.txt,Google Cloud Platform,./doc,6558,2025-10-06 17:39:29,"Google Cloud Platform, phần, rộng, mở"
20,020_DevOps_-_phn_m_rng_1.txt,DevOps,./doc,6130,2025-10-06 17:39:29,"DevOps, phần, mở, rộng"
21,021_CI_CD_-_phn_m_rng_1.txt,CI/CD,./doc,6092,2025-10-06 17:39:29,"CI/CD, phần, rộng, mở"
22,022_Docker_-_phn_m_rng_1.txt,Docker,./doc,6488,2025-10-06 17:39:29,"Docker, phần, rộng, mở"
23,023_Kubernetes_-_phn_m_rng_1.txt,Kubernetes,./doc,6662,2025-10-06 17:39:29,"Kubernetes, phần, mở, rộng"
24,024_Lu_tr_phn_tn_-_phn_m_rng_1.txt,Lưu trữ phân tán,./doc,6418,2025-10-06 17:39:29,"Lưu trữ phân tán, phần, rộng, phân"
25,025_H_iu_hnh_-_phn_m_rng_1.txt,Hệ điều hành,./doc,6119,2025-10-06 17:39:29,"Hệ điều hành, phần, rộng, hệ"
26,026_Linux_-_phn_m_rng_1.txt,Linux,./doc,6253,2025-10-06 17:39:29,"Linux, phần, rộng, mở"
27,027_Windows_Server_-_phn_m_rng_1.txt,Windows Server,./doc,6015,2025-10-06 17:39:29,"Windows Server, phần, rộng, mở"
